subject,percent_pass,percent_exceed,percent_meet,percent_partial,percent_fail,number,avg_score,avg_sgp,year
3rd_eng,52,9,43,41,7,"69,329",502.2,N/A,2018
3rd_math,50,10,40,38,12,"69,436",500,N/A,2018
4th_eng,53,10,43,38,9,"71,759",501.8,50,2018
4th_math,48,7,41,39,13,"71,793",497.9,50.1,2018
5th_eng,54,6,48,38,8,"72,121",501.9,50.1,2018
5th_math,46,5,41,44,10,"72,162",497.5,50,2018
6th_eng,51,10,40,37,12,"70,888",501,50.1,2018
6th_math,47,7,41,42,11,"70,894",498.6,50,2018
7th_eng,46,8,38,39,15,"70,527",497,50,2018
7th_math,46,7,39,40,14,"70,511",497.5,50,2018
8th_eng,51,10,41,34,15,"71,732",499.1,50,2018
8th_math,50,8,41,38,12,"71,749",498.8,50,2018
all_eng,51,9,42,38,11,"426,356",500.5,50,2018
all_math,48,7,40,40,12,"426,545",498.4,50,2018
3rd_eng,56,10,46,36,8,"67,900",504.1,N/A,2019
3rd_math,49,9,40,38,13,"67,998",499.4,N/A,2019
4th_eng,52,9,43,39,9,"69,814",501.8,49.7,2019
4th_math,50,8,41,39,12,"69,806",499.2,49.8,2019
5th_eng,52,7,45,39,9,"72,129",501.2,50,2019
5th_math,48,6,43,42,10,"72,132",498.5,50,2019
6th_eng,53,13,41,33,13,"72,257",501.3,50,2019
6th_math,52,10,41,38,10,"72,229",500.8,50,2019
7th_eng,48,8,40,38,13,"71,185",499,49.9,2019
7th_math,48,11,37,39,13,"71,169",498.2,50.1,2019
8th_eng,52,11,40,35,14,"70,767",499.8,49.9,2019
8th_math,46,10,37,41,12,"70,755",499,49.9,2019
all_eng,52,10,42,37,11,"424,052",501.2,49.9,2019
all_math,49,9,40,39,12,"424,089",499.2,49.9,2019
3rd_eng,51,9,41,39,10,"63,613",499.5,N/A,2021
3rd_math,33,5,28,40,26,"63,599",488.1,N/A,2021
4th_eng,49,6,43,38,13,"65,055",498,N/A,2021
4th_math,33,4,29,43,24,"65,042",488.1,N/A,2021
5th_eng,47,8,39,41,12,"65,454",496.7,34.9,2021
5th_math,33,4,29,47,20,"65,390",490.2,31.9,2021
6th_eng,47,12,35,31,22,"66,466",496.6,37.3,2021
6th_math,33,5,29,44,23,"66,372",490.1,26.3,2021
7th_eng,43,6,37,37,20,"67,604",494.2,36.1,2021
7th_math,35,6,29,47,18,"67,530",492.1,35.8,2021
8th_eng,41,6,34,41,18,"67,552",494.6,34.8,2021
8th_math,32,4,28,46,21,"67,557",489.4,27.4,2021
all_eng,46,8,38,38,16,"395,744",496.5,35.8,2021
all_math,33,5,29,45,22,"395,490",489.7,30.4,2021
